30	SCMB 58/09/13	SCMB 58/09/13	REQUEST FOR DEVIATION AND/OR CONDONATION: REPAIRS AND MAINTENANCE OF AN INTEGRATED, SPATIALLY ENABLED RESPONSE MANAGEMENT SYSTEMS (ISERMS)	Aurecon South Africa (Pty) Ltd 	16 September 2013	"Estimated
R1 665 000.00
(excl. VAT)"	Safety & Security
31	SCMB 64/09/13	SCMB 64/09/13	REQUEST TO CONTRACT WITH ORGAN OF STATE :  PROMOTION OF INVESTMENT AND TRADE : WESTERN CAPE DESTINATION MARKETING, INVESTMENT AND TRADE PROMOTION AGENCY (WESGRO) : AGENCY ESTABLISHED IN TERMS OF SECTION 2 OF THE WESTERN CAPE INVESTMENT AND TRADE PROMOTION AGENCY ACT, 1996 (ACT NO 3 OF 1996)	(WESGRO)	25 September 2013	"R 10 762 500.00
 (excl. VAT) "	"Economic, Environmental &
 Spatial Planning"
32	SCMB 66/09/13	445C/2012/13	PROVISION OF A SERVICE PROVIDER : MONITORING AND VERIFICATION SERVICES REQUIRED FOR THE CITY`S ENERGY EFFICIENCY PROGRAMMES	Energy Cybernetics (Pty) Ltd 	25 September 2013	"estimated
R 1 540 000.00
(excl. VAT)"	"Economic, Environmental &
 Spatial Planning"
33	SCMB 68/09/13	 491C/2012/13	APPOINTMENT OF MOTOR ASSESSORS FOR INSURANCE CLAIMS	"
Vicron Assessing Services CC,
Inyameko Trading 252 CC
t/a Inyameko Risk & Loss Adjusting Services,
R Halim Risk Administrators CC
t/a Vulindela Risk Administrators

"	25 September 2013	"estimated
R 750 000.00
(excl. of VAT)"	Finance
34	SCMB 69/09/13	377G/2012/13	SUPPLY AND DELIVERY OF BOOKS AND OTHER LIBRARY MATERIALS TO THE CITY OF CAPE TOWN : LIBRARY AND INFORMATION SERVICES	Hargraves Library Services (Pty) Ltd, Executive Information Services CC t/a Caxton Books, Books Magazines and Stationery CC t/a Bargain Books, Takealot Online (Pty) Ltd t/a Takelot.com, Times Media (Pty) Ltd t/a Van Schaik Bookstore and Everybody’s Books CC	25 September 2013	"estimated
R 7 500.00
(excl. VAT)"	Community Services
35	SCMB 70/09/13	398Q/2012/13	ALTERATIONS TO RAVENSMEAD MULTI-PURPOSE CENTRE	N1 Waterproofers and Decorators CC	25 September 2013	"estimated
R 1 200 000,00 (excl.VAT)"	Community Services
36	SCMB 71/09/13	480Q/2012/13	CONSTRUCTION OF MORGEN GRONDE, MAITLAND AND GUGULETHU SUBSTATIONS	Shatel CC 	25 September 2013	"R 20 993 480.86
(excl. VAT) "	Utility: Electricity Services
37	SCMB 72/09/13	440S/2012/13	SUPPLY, DELIVERY, INSTALLATION AND MAINTENANCE OF COIN OPERATED PHOTOCOPIERS AND PRINTERS LINKED TO SMART CAPE SYSTEM	Ray’s Graphic Print CC t/a Graphic Print 	25 September 2013	"estimated
R 850 000.00
 (excl. VAT)"	Community Services
38	SCMB 73/09/13	 446S/2012/13	FIRST LINE RESPONSE : DISTRIBUTION AREA EAST	PTTP Projects CC, V2 Electrical Contractors CC, Electro Fit CC  and EJM Electrical CC 	25 September 2013	"estimated
R 25 000 000.00 (excl.Vat)"	Utility: Electricity Services
39	SCMB 74/09/13	453S/2012/13 	SERVICING AND REPAIRS OF CHLORINE DOSING EQUIPMENT ON VARIOUS BULK WATER TREATMENT PLANTS AND RESERVOIRS	Maxal Projects SA (Pty) Ltd 	25 September 2013	"estimated
R 1 200 000.00 (excl. VAT)"	Human Settlements
40	SCMB 76/09/13	97Q/2011/12	REQUEST FOR DEVIATION AND/OR CONDONATION: CONSTRUCTION OF NON-MOTORISED TRANSPORT FACILITIES, HARD AND SOFT LANDSCAPING IN BLOEKOMBOS AND KRAAIFONTEIN 	Shar Civils CC 	25 September 2013	"R 10 258 193.08
 (excl. VAT)"	"Transport, Roads &
Stormwater"
41	SCMB 77/09/13	SCMB 77/09/13	REQUEST FOR DEVIATION AND/OR CONDONATION: APPOINTMENT OF SERVICE PROVIDER FOR THE PROVISION OF MATERIAL FOR THE DESIGN, MANUFACTURE AND SUPPLY OF FESTIVE LIGHTING	"Candi Lite Cables CC
R1038758.42 "	25 September 2013	"R1 038 758.42
(excl.VAT)"	Utility: Electricity Services
42	SCMB 83/09/13	SCMB 83/09/13	REQUEST TO CONTRACT WITH ORGAN OF STATE:  PROVISION OF PROFESSIONAL SERVICES FOR ATLANTIS WATER SUPPLY SCHEME ARTIFICIAL RECHARGE SCIENTIFIC AND OPERATIONAL SUPPORT	Scientific Research and Development (CSIR)	30 September 2013	"R 1 300 000.00
(excl. VAT)"	Utility: Water & Sanitation
43	 371C/2012/13	SCMB 84/09/13	PROVISION OF PROFESSIONAL SERVICES TO ASSIST THE CITY OF CAPE TOWN WITH VERIFICATION AND CAPTURING OF 2012/13 ACCIDENT REPORT FORMS	Transport and Economic Support Services (Pty) Ltd	30 September 2013	"estimated
R 1 000000.00 (excl. VAT)"	Transport, Roads & stormwater
44	320G/2012/13	SCMB 86/09/13	SUPPLY AND DELIVERY OF ETSI TETRA RADIO SPARES AND ACCESSORIES	Altech Alcom Matomo A Division of Altech Radio Holdings (Pty) Ltd	30 September 2013	"estimated
R 3 000 000.00 (excl. VAT)"	Corporate Services
45	455G/2012/13	SCMB 87/09/13	SUPPLY AND DELIVERY OF HAND-HELD BARCODE SCANNERS	Mantella Trading 634 (Pty) Ltd and Osiris Technical Systems Ltd	30 September 2013	"estimated
R 600 000.00
(excl.VAT)"	Corporate Services
46	393S/2012/13	SCMB 88/09/13	HORTICULTURAL MAINTENANCE TO GRANGER BAY BOULEVARD LANDSCAPING	Cocopan (Pty) Ltd	30 September 2013	"estimated
R 2 500 000.00 (excl. VAT)"	Community Services
47	394S/2012/13	SCMB 89/09/13	" HORTICULTURAL MAINTENANCE TO BUITENGRACHT CENTRE MEDIAN
"	Cocopan (Pty) Ltd	30 September 2013	"estimated
R 800 000.00
(excl.VAT)"	Community Services
48	365G/2010/11	SCMB 90/09/13	REQUEST FOR INCREASE IN CONTRACT SUM AND/OR PERIOD: MANUFACTURE, TESTING, SUPPLY AND DELIVERY AND/OR INSTALLATION OF BATTERY CHARGERS, BATTERY TRIPPING UNITS, DC AUXILLARY SUPPLY UNITS AND BATTERY CELLS	First National Battery Industrial (Pty) Ltd and Actom (Pty) Ltd t/a Actom Electrical Products	30 September 2013	R 0.00	Utility: Electrical
49	5Q/2012/13 	SCMB 91/09/13	REQUEST FOR DEVIATION AND/OR CONDONATION: ALTERATIONS AND EXTENSIONS TO RAVENSMEAD CLINIC FOR NEW TB FACILITY	Ismail Davids & Associates	30 September 2013	"R 151 036.59
(excl. VAT)"	Human Settlements
