No	Tender No	Decision Reference	Description	Vendor	Date of award	Value of Decision	Reason	Department
15	34S/2015/16	SCMB 27/02/17	MAINTENANCE OF TELECOMMUNICATIONS FACILITIES FOR THE CITY OF CAPE TOWN	"EOH Intelligent Infrastructure (Pty) Ltd (Main services provider) and XON Systems (Pty) Ltd (Alternativeservice provider) "	13 February 2017	 14 400 000.00 	Award: Highest Adjudication Points	Corporate Services - Informations Systems and Technology
16	SCMB28/02/17	SCMB 28/02/17	REQUEST FOR DEVIATION AND/OR CONDONATION: APPOINTMENT OF DEDICATED CODETA PROFESSIONAL FACILITATION SERVICES AS PART OF THE MYCITI INTEGRATED RAPID TRANSIT PROJECT, INCLUDING THE N2 EXPRESS SERVICE, PHASE 2A AND THE MINIBUS-TAXI TRANSFORMATION MODEL	Ndimeme Consulting (Pty) Ltd 	13 February 2017	 6 000 000.00 	Deviation: Exceptional Circumstances	Transport for Cape Town - Contract Operations
17	SCMB 29/02/17	SCMB 29/02/17	PROCUREMENT OF SERVICES FROM AN ORGAN OF STATE: THE NATIONAL SCHOOL OF GOVERNMENT: FOR THE OFFERING OF A MUNICIPAL MANAGEMENT DEVELOPMENT PROGRAMME AND COURSES IN VALUES BASED LEADERSHIP, LEADING AND MANAGING CHANGE, AND LEADING INNOVATION	National School of Government	13 February 2017	 8 000 000.00 	Award: Organ of State	Corporate Services - HR
18	206Q/2015/16	SCMB 41/02/17	TERM TENDER FOR ROAD RESURFACING AND ANCILLARY WORKS	"Triple C Maintenance and Services CC, Umzali Civils(Pty) Ltd, Martin and East (Pty) Ltd, Zelpy 1104 CC t/aEmpower Asphalt, NMC Civils/Mokwena Joint Venture"	20 February 2017	 100 000 000.00 	Award: Highest Adjudication Points	Transport & Urban Development - Asset Management & Maintenance
19	347Q/2015/16	SCMB 42/02/17	Term tender for repairs and maintenance of waterproofing to corporate municipal facilities within the City of Cape Town	"Mogammat Shafiek Adams t/a General Builders(as Standby Tenderer) for Region 1, Beap Construction CC (as Standby Tenderer) for Region 2 "	20 February 2017	 10 000 000.00 	Award: Highest Adjudication Points	Assets & Facilities Management - Facilities Management
20	"301S/2013/14 Quote - A091700055"	SCMB 43/02/17	REQUEST FOR UNAPPROVED INCREASE IN CONTRACT SUM: TENDER NO. 301S/2013/14: EVENT COORDINATION: FESTIVAL OF LIGHTS SWITCH-ON: 4 DECEMBER 2016	Celebrity Services Africa Events (Pty) Ltd	20 February 2017	 203 515.00 	Increase in Contract Sum	Office of the City Manager - Office of the City Manager
21	311S/2013/14	SCMB 45/02/17	REQUEST FOR DEVIATION AND/OR CONDONATION: TENDER NO. 311S/2013/14: COMMUNITY BASED REFUSE COLLECTION AREA CLEANING INFORMAL SETTLEMENTS: AREA 6	Shamrock Recruitment CC 	20 February 2017	0	Deviation: Exceptional Circumstances	Informal Settlements, Water & Waste - Solid Waste
22	216Q/2014/15	SCMB 46/02/17	Construction of Link Road, Mitchells Plain	Martin and East	20 February 2017	 1 228 933.00  	Increase in Contract Sum	Utility Services - Solid Waste Services
23	090G/2016/17	SCMB 51/02/17	Supply and delivery of graders	"Komatsu South Africa (Pty) Ltd (Main)Barloworld South Africa (Pty) Ltd t/a Barloworld Equipment (Back-up)"	27 February 2017	0	Award: Highest Adjudication Points	Assets & Facilities Management - Facilities Management
24	093G/2016/17	SCMB 52/02/17	Supply and Delivery of Various Motor Cycles and All-Terrain Vehicles	"Droomers Motorsport (Pty) LtdAmerican Eagle Motorcycles CC t/a Harley Davidson TygervalleyMekor Motors Cape Town (Pty Lltd t/a Honda Cape TownCycos Cylces CC t/a Maverick Motorsport"	27 February 2017	0	Award: Highest Adjudication Points	Assets & Facilities Management - Facilities Management
25	388G/2015/16	SCMB 53/02/17	Supply and delivery of law enforcement uniforms and specialised equipment	"(Option 1)TR Supply CC t/a TRF Sport. Sparks & Ellis (Pty) LtdFG Uniforms CCInternational Resource Distribution (Pty) LtdUhambo Procurement & Distribution CC Option 2Lightsavers (Pty) Ltd Blackbird Trading 480 CC"	27 February 2017	0	Award: Highest Adjudication Points	Safety & Security - Law Enforcement & Traffic
26	408G/2015/16	SCMB 54/02/17	Supply, delivery and installation and repairs of rubber matting around play and exercise equipment and indoor areas	"Imvusa Trading 1434 CC t/a Magicscapes (Schedule 1 and 2)"	27 February 2017	0	Award: Highest Adjudication Points	Social Services - Recreation & Parks
27	094S/2016/17	SCMB 55/02/17	Printing, Erection  and Removal of streetpole flags	City Flag (Pty) Ltd	27 February 2017	0	Award: One Responsive Bid	Directorate of the Mayor - Communications
28	148S/2016/17	SCMB 56/02/17	Provision of Lift Maintenance  Services(Cape Town Stadium)	Schindler Lifts (SA) (Pty) Ltd	27 February 2017	0	Award: One Responsive Bid	Assets & Facilities Management - Cape Town Stadium & Sea Point Precincts
29	150S/2016/17	SCMB 5702/17	Cape Town Stadium : Provision of Pitch Maintenance Services	Groenvlei Gras CC	27 February 2017	0	Award: One Responsive Bid	Assets & Facilities Management - Cape Town Stadium & Sea Point Precincts
30	153S/2016/17	SCMB 58/02/17	Provision of Fencing in and around Cape Town Stadium	Sharon Rose Trading CC	27 February 2017	0	Award: One Responsive Bid	Assets & Facilities Management - Cape Town Stadium & Sea Point Precincts
31	314S/2014/15	SCMB 59/02/17	Panel of ICT Professional Services	"Baraka IT Solutions (Pty0 LtdMelon Consulting and Consnet ConsortiumOpenSource Intelligent Solutions (Pty) LtdEOH Mthombo (Pty) Ltd"	27 February 2017	0	Award: Highest Adjudication Points	Corporate Services - Information Systems & Technology
32	114Q/2016/17	SCMB 60/02/17	Resurfacing of Steve Biko Drive between Govan Mbeki Road and Klipfontein Road, Gugulethu	Amandla GCF Construction CC	27 February 2017	 10 804 679.75 	Award: Highest Adjudication Points	Transport & Urban Development - Asset Management & Maintenance
33	108Q/2016/17	SCMB 61/02/17	Stormwater Channel Replacement at the Coastal Park Landfill Site	RDC Civil Projects CC 	27 February 2017	1 965 580.80	Award: Highest Adjudication Points	Informal Settlements, Water & Waste - Solid Waste
34	177Q/2015/16	SCMB 62/02/17	Term tender for the repair of plumbing and installation of water management devices at domestic properties occupied by indigent households (R2 000 000 but not exceed R4 000 000)	"Zephron Plumbing Contractors   CC (South Region), New Port Water Solutions (Pty) Ltd (East Region),Ikapa Reticulation and Flow CC (North Region) Quetzal Trading116CC (Central Region)"	27 February 2017	 25 000 000.00 	Award: Highest Adjudication Points	Informal Settlements, Water & Waste - Water & Sanitation
35	178Q/2015/16	SCMB 63/02/17	Term tender for plumbing and installation of water management devices at domestic properties occupied by indigent households (R4 000 000 but not exceed R6 000 000)	"Zephron Plumbing Contractors CC (South Region), New Port Water Solutions (Pty) Ltd (East Region), Ikapa Reticulation and Flow CC (North Region) Quetzal Trading 116 CC( Central Region) "	27 February 2017	0	Award: Highest Adjudication Points	Informal Settlements, Water & Waste - Water & Sanitation
36	344Q/2015/16	SCMB 64/02/17	CONSTRUCTION OF CIVIL AND ELECTRICAL ENGINEERING SERVICES FOR KALKFONTEIN INFORMAL SETTLEMENT	Shar Civils�CC	27 February 2017	 57 506 575.14 	Award: Highest Adjudication Points	Informal Settlements, Water & Waste - Informal Settlements & Backyarders
37	140Q/2015/16	SCMB 65/02/17	Replacement of existing floating roof at Neptune Reservoir in Simon's Town	Acquatan (Pty) Ltd 	27 February 2017	 3 057 184.88 	Increase in Contract Sum	Informal Settlements, Water & Waste - Water & Sanitation
38	284Q/2014/15	SCMB 66/02/17	Trenchless rehabilitation of sewers in Belgravia, Athlone	Mainline Civil Engineering Contractors CC	27 February 2017	 1 265 673.30 	Increase in Contract Sum	Informal Settlements, Water & Waste - Water & Sanitation
39	036S/2015/16	SCMB 67/02/17	Provision of area cleaning services in formal  disadvantage sandy areas.	Linamandla Business Enterprise CC	27 February 2017	0	Increase in Contract Period	Informal Settlements, Water & Waste - Solid Waste
